nodo_id,latitud,longitud
181285629,-11.9565144,-76.9974203
181285633,-11.9564225,-76.9967215
181285635,-11.957816,-76.9984369
181285636,-11.9583349,-76.9972176
181285637,-11.9564715,-76.9970878
181285638,-11.9584981,-76.9968384
273413079,-12.0275338,-76.9999108
273413150,-12.027825,-77.0011546
492820352,-12.0252408,-77.0119984
492820358,-12.0232941,-77.0124852
492820378,-12.0122309,-77.0113704
492820398,-12.0092252,-77.0109675
492820404,-12.0039628,-77.0120842
493839482,-12.018053,-77.0025269
493839484,-12.0132584,-77.0022487
493839494,-11.9849378,-77.0066255
499564329,-12.0254052,-77.0134053
499564343,-12.0183433,-77.013846
499564364,-12.0145346,-77.0128012
499564386,-12.0121015,-77.0133412
499564389,-12.0105658,-77.0145577
499564391,-12.0101474,-77.0156056
499564394,-12.009325,-77.0164714
499564487,-11.9922162,-77.0149855
499564495,-11.9849044,-77.0152518
499564501,-11.9823707,-77.0130999
499564506,-11.9822194,-77.0131166
499564518,-11.9694433,-77.0050863
499564529,-11.9658259,-77.0024281
499564533,-11.9643527,-77.0016867
499564538,-11.9620522,-77.0001818
499585667,-11.9734384,-76.9981315
499585678,-11.9588047,-76.9867546
499585682,-11.9562002,-76.9854177
499585687,-11.9515088,-76.9874839
499585714,-11.9332644,-76.9688159
499585727,-11.9331739,-76.968982
499585753,-11.9392525,-76.9785218
499585768,-11.9485704,-76.9858867
499585771,-11.9507212,-76.9872095
499585783,-11.9587061,-76.986894
499585798,-11.9780085,-77.0039852
499585876,-12.0171184,-77.0021794
499588497,-12.0257628,-77.0102367
499588499,-12.0251434,-77.0109708
499588507,-12.0274676,-77.0198878
816743662,-11.9826325,-77.0126283
816743663,-11.9834921,-77.013207
816743664,-11.9844162,-77.0138623
816743665,-11.9847478,-77.0142057
816743702,-11.9839923,-77.0123171
816743706,-11.9840081,-77.0118022
816743720,-11.9845978,-77.0075358
816743722,-11.9836534,-77.0099969
816743728,-11.9832385,-77.0111648
816743729,-11.9830448,-77.0116932
816805092,-11.9862207,-77.0136909
816805100,-11.9861838,-77.0116824
816805166,-11.9835042,-77.0118104
816805179,-11.9856882,-77.0117371
816805198,-11.986856,-77.0118047
816805237,-11.9856862,-77.0116128
816805240,-11.9861795,-77.0115552
816805245,-11.9864659,-77.0115726
816805302,-11.9887633,-77.011974
816805422,-11.9846899,-77.0123153
816805727,-11.9852146,-77.0133498
816805753,-11.9851927,-77.0123184
816856778,-11.9886504,-77.010962
816856785,-11.9880085,-77.0109666
816856790,-11.9875039,-77.0109678
816856795,-11.9870327,-77.0109772
816856799,-11.9859895,-77.0109993
816856803,-11.9855121,-77.0110085
816856808,-11.9843503,-77.0110284
816856869,-11.9856785,-77.0111077
816856876,-11.9861665,-77.0111014
816856887,-11.9865819,-77.0110905
816925088,-11.9857187,-77.0136867
817064314,-11.9867079,-77.0123656
817064326,-11.9872375,-77.0124547
817064332,-11.9889389,-77.0126269
817064346,-11.9891672,-77.010956
817064351,-11.989363,-77.0119754
817064352,-11.9893915,-77.0121146
817064355,-11.9898628,-77.0147171
817064372,-11.9898252,-77.0134362
817064373,-11.989739,-77.012952
817064374,-11.9896021,-77.0121113
817064376,-11.9895717,-77.0119434
817064409,-11.9872543,-77.0150323
817064410,-11.9881554,-77.0149294
817064428,-11.9867166,-77.0136872
817064452,-11.9872585,-77.0145229
817064453,-11.9872425,-77.0130899
817071317,-11.9870701,-77.0094117
817071318,-11.9875072,-77.0098697
817071329,-11.9880033,-77.0104357
817071330,-11.9879958,-77.0098675
817071334,-11.9870274,-77.010479
817071335,-11.9870209,-77.0098744
817071336,-11.9859875,-77.0104964
817071340,-11.9850562,-77.0104985
817071341,-11.9845434,-77.0105057
817071343,-11.9854991,-77.0104966
817071344,-11.9854874,-77.0098893
817071351,-11.9859655,-77.0098846
817071352,-11.9867237,-77.0098773
817071360,-11.9861568,-77.0091254
817071365,-11.9841262,-77.0101699
817071366,-11.9846063,-77.0103621
817071368,-11.9848156,-77.0098958
817071582,-11.9887037,-77.0112678
817086739,-11.9832875,-77.0110273
817086763,-11.9888272,-77.0148438
817086765,-11.9893333,-77.0147938
817086803,-11.9829897,-77.0118595
817111054,-11.9882121,-77.0154397
817111064,-11.9890135,-77.0130788
817111076,-11.9885416,-77.0131103
817111089,-11.9887443,-77.0143509
817111115,-11.9867751,-77.0156047
817111130,-11.9894753,-77.0125708
